"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.038231875E0,-1.081827743E-2,6.211616873E-2,-4.969022334E-2,8.027809066E-2
1.048219875E0,6.969657790E-3,-2.007853456E-2,7.530044317E-2,7.824244642E-2
1.058206875E0,-1.796886486E-3,-4.386244968E-2,4.730865240E-2,6.453876265E-2
1.068194875E0,1.930504386E-2,1.869210491E-2,-2.274566889E-2,3.520575177E-2
1.078182875E0,2.547240599E-2,3.743918963E-2,1.311343360E-1,1.387326582E-1
1.088170875E0,-1.219129389E-2,2.088707658E-2,8.113771856E-2,8.466538246E-2
1.098158875E0,-2.172559471E-2,9.279826456E-3,-1.496185541E-2,2.796379377E-2
1.108146875E0,1.502903444E-2,5.863993278E-3,-8.411862910E-2,8.565163194E-2
1.118134875E0,1.574379717E-2,-9.362207101E-3,3.898923397E-3,1.872751117E-2
1.128121875E0,3.723540732E-2,-4.717503896E-3,2.261001348E-2,4.381715544E-2
1.138109875E0,-1.188571063E-2,3.933195847E-2,-4.879150629E-2,6.378780573E-2
1.148097875E0,-1.808582973E-2,3.362078422E-2,-1.664474255E-1,1.707694347E-1
1.158085875E0,2.911212871E-2,1.833490513E-2,-5.522870600E-2,6.506838519E-2
1.168073875E0,3.152454828E-2,5.717283212E-2,-7.648450434E-2,1.005604757E-1
1.178061875E0,3.363584766E-2,5.026664460E-2,-2.897909313E-1,2.960352845E-1
1.188049875E0,2.047957361E-2,6.354317714E-3,-1.249836498E-1,1.268097118E-1
1.198037875E0,-4.521396505E-2,3.557013400E-2,8.008989751E-2,9.860998303E-2
1.208024875E0,1.801953350E-2,8.395371021E-2,-2.667394531E-1,2.802193157E-1
1.218012875E0,5.212845288E-2,6.065557080E-2,-2.168931091E-1,2.311689742E-1
1.228000875E0,-9.298125843E-3,3.858698208E-2,4.596086919E-2,6.072735650E-2
1.237988875E0,3.843068326E-2,7.745950928E-2,-1.957869995E-1,2.140314046E-1
1.247976875E0,1.040173983E-2,1.072939770E-1,-6.151621699E-2,1.241146190E-1
1.257964875E0,2.208000907E-2,9.436817687E-2,8.487935185E-2,1.288308347E-1
1.267952875E0,1.970656028E-2,5.160047671E-2,3.233861089E-2,6.400580809E-2
1.277940875E0,2.321349639E-2,6.555536393E-2,2.844728887E-2,7.513734357E-2
1.287927875E0,-4.227266483E-2,7.688721305E-2,-1.088172680E-1,1.397849046E-1
1.297915875E0,-2.008800888E-2,3.204833089E-2,-5.298337519E-2,6.509886067E-2
1.307903875E0,-3.882842184E-2,4.820538688E-2,1.709515357E-1,1.818126322E-1
1.317891875E0,2.491539703E-2,7.500214838E-2,2.635223150E-2,8.330989963E-2
1.327879875E0,2.358301529E-2,6.233494596E-2,2.485534430E-2,7.113081075E-2
1.337867875E0,6.419752168E-2,-1.398929214E-2,7.485137701E-2,9.959794539E-2
1.347855875E0,-2.482012853E-3,5.810004977E-2,-1.642015100E-1,1.741950402E-1
1.357843875E0,5.936005622E-2,6.982565404E-2,-1.300724816E-1,1.591165884E-1
1.367830875E0,-7.572311007E-3,2.080741740E-2,2.366648841E-1,2.376984558E-1
1.377818875E0,6.276917938E-2,-6.206739473E-3,-4.782437682E-3,6.325634517E-2
1.387806875E0,1.027219842E-1,6.102289015E-2,-3.902314782E-1,4.081129816E-1
1.397794875E0,4.431802543E-2,3.527652840E-2,-8.426773310E-2,1.015360610E-1
1.407782875E0,-1.111380622E-2,-3.693340320E-2,1.220039088E-1,1.279552528E-1
1.417770875E0,3.368613371E-2,-1.366438110E-2,-1.511154413E-2,3.936787626E-2
1.427758875E0,-7.474302536E-2,9.005871498E-2,5.778744757E-2,1.305238717E-1
1.437746875E0,2.538535785E-2,-2.369170270E-2,-2.469045281E-2,4.260670875E-2
1.447734875E0,-7.368016601E-2,3.367607924E-4,-9.699010491E-2,1.218029586E-1
1.457721875E0,-2.127274156E-2,5.295219080E-3,4.790857673E-2,5.268586720E-2
1.467709875E0,-4.265390786E-2,5.438655163E-2,2.362175721E-1,2.461219093E-1
1.477697875E0,2.055138701E-2,-3.304670642E-2,7.904441535E-2,8.810484613E-2
1.487685875E0,-5.757486017E-3,-3.753187029E-2,-1.014795971E-1,1.083508124E-1
1.497673875E0,4.854264788E-2,-8.781327910E-3,-5.537547112E-2,7.416160182E-2
1.507661875E0,8.660120383E-4,2.252468297E-2,-1.765391350E-2,2.863166047E-2
1.517649875E0,2.347053177E-2,9.946530667E-3,-3.965815544E-2,4.714412611E-2
1.527637875E0,1.280065484E-2,1.614795625E-2,7.694994271E-2,7.966120096E-2
1.537624875E0,3.147077902E-2,-2.698261617E-2,-9.594052970E-2,1.045134285E-1
1.547612875E0,1.787873666E-2,-4.060469632E-2,-2.571552819E-1,2.609544589E-1
1.557600875E0,-1.428197270E-3,-2.756234476E-2,-2.037164086E-1,2.055774738E-1
1.567588875E0,7.162647884E-3,-2.277265516E-2,-2.032673424E-1,2.046643835E-1
1.577576875E0,-6.167177120E-3,-3.532328100E-3,-4.205259025E-2,4.264893624E-2
1.587564875E0,5.165392620E-3,4.989871312E-2,1.031460536E-1,1.146981744E-1
1.597552875E0,-2.485720810E-2,1.058199670E-1,-2.345517004E-1,2.585154664E-1
1.607540875E0,2.394474552E-2,4.008997232E-2,-2.448808068E-1,2.492933338E-1
1.617528875E0,9.783932391E-3,4.939906854E-2,1.248503333E-1,1.346239170E-1
1.627515875E0,2.055390634E-2,7.347793914E-2,5.225071907E-2,9.247490606E-2
1.637503875E0,5.876805761E-3,6.631589483E-2,3.398927987E-2,7.475029029E-2
1.647491875E0,-2.417066732E-2,2.996059396E-2,-3.935819328E-2,5.505384389E-2
1.657479875E0,9.729193544E-3,8.031938702E-4,-3.471842766E-2,3.606482423E-2
1.667467875E0,3.361511745E-2,1.224419177E-2,8.144060433E-2,8.895205668E-2
1.677455875E0,1.473372721E-2,7.853428233E-2,2.036760628E-2,8.245941793E-2
1.687443875E0,-1.684071198E-2,7.312228682E-2,7.006426156E-2,1.026619655E-1
1.697431875E0,-1.379925992E-2,3.551752734E-2,3.653398812E-2,5.278869775E-2
1.707419875E0,-2.229535334E-2,6.205510187E-2,-7.624184489E-3,6.637805841E-2
1.717406875E0,-8.076329576E-4,6.445385814E-2,1.842223763E-2,6.703977132E-2
1.727394875E0,-3.264728335E-3,2.544303515E-2,6.258041024E-2,6.763367678E-2
1.737382875E0,-1.986382754E-2,4.914207885E-4,8.443496346E-2,8.674143297E-2
1.747370875E0,-1.116135596E-2,-1.085699468E-2,-5.378268957E-3,1.647349317E-2
1.757358875E0,-3.015654649E-2,2.379973686E-2,-4.324951530E-2,5.784777735E-2
1.767346875E0,5.623859438E-3,-3.935375990E-3,6.497542977E-2,6.533698381E-2
1.777334875E0,3.664738299E-2,-1.980913323E-2,4.865994394E-2,6.405640158E-2
1.787322875E0,-9.374277833E-3,2.643613219E-2,-3.950671256E-2,4.845127973E-2
1.797309875E0,9.692698696E-3,3.840362619E-2,-5.312838614E-2,6.626773216E-2
1.807297875E0,2.052252780E-2,2.469243539E-2,6.362881601E-2,7.127072849E-2
1.817285875E0,2.957716280E-2,2.260991984E-2,-1.001306444E-1,1.068277258E-1
1.827273875E0,-3.984374972E-4,1.905950306E-2,-1.475819689E-1,1.488081347E-1
1.837261875E0,8.958848007E-4,-3.689667309E-2,5.120465219E-2,6.311959680E-2
1.847249875E0,-3.560651122E-3,-4.172040902E-3,-2.652378881E-1,2.652945937E-1
1.857237875E0,3.703822367E-2,2.794217623E-2,-2.959240758E-1,2.995390691E-1
1.867225875E0,5.213928507E-3,2.601402489E-2,-9.569553137E-3,2.820444803E-2
1.877213875E0,4.427042544E-2,5.387706729E-3,-5.297869742E-2,6.925056197E-2
1.887200875E0,1.345688945E-2,7.091185201E-2,-9.908282340E-2,1.225846015E-1
1.897188875E0,3.737043003E-2,6.786362997E-2,-2.923315465E-1,3.024231380E-1
1.907176875E0,-1.966010918E-3,1.265636909E-2,-8.366546988E-2,8.464017798E-2
1.917164875E0,-1.538131548E-2,-8.618042129E-3,1.696078455E-1,1.705217780E-1
1.927152875E0,1.527904745E-2,5.163688020E-2,-1.134535253E-1,1.255847088E-1
1.937140875E0,2.860832484E-2,3.147093205E-2,-6.405624747E-2,7.688991257E-2
1.947128875E0,-1.014493058E-2,1.647659490E-2,9.491317391E-2,9.686541374E-2
1.957116875E0,-7.151748879E-3,8.028595283E-2,-5.836807609E-2,9.951790813E-2
1.967104875E0,2.868654963E-2,8.117305767E-2,-4.085449576E-2,9.529466535E-2
1.977091875E0,1.340987875E-2,4.950166890E-2,2.179573023E-1,2.239098607E-1
1.987079875E0,1.276864590E-3,3.845886410E-2,9.970321298E-2,1.068711621E-1
1.997067875E0,1.917460984E-2,8.232841266E-2,-1.341111535E-1,1.585289711E-1
2.007054625E0,-1.399004018E-3,6.003786729E-2,-1.316266716E-2,6.147974079E-2
2.017042625E0,-1.030192147E-2,-3.925314668E-3,2.029878455E-1,2.032869969E-1
2.027030625E0,4.272196168E-4,2.371715179E-2,9.820574105E-2,1.010299628E-1
2.037018625E0,2.614721807E-2,4.861377834E-2,-8.186978996E-2,9.874026010E-2
2.047006625E0,-6.990716332E-3,4.841021758E-2,2.410982430E-2,5.453166886E-2
2.056994625E0,-1.115347478E-2,2.336739008E-2,5.000655770E-2,5.631243852E-2
2.066981625E0,1.659449852E-2,5.984333773E-2,-3.022718132E-2,6.906724942E-2
2.076969625E0,9.336244093E-3,6.558814488E-2,1.572725594E-2,6.809050435E-2
2.086957625E0,-2.618793159E-2,3.574153051E-2,1.395204127E-1,1.463871932E-1
2.096945625E0,-1.110945164E-2,1.970470105E-2,-9.055173576E-2,9.333440956E-2
2.106933625E0,-1.700510325E-2,9.931860095E-3,-1.558154333E-1,1.570549733E-1
2.116921625E0,-9.743555768E-3,-1.126442341E-2,-4.998550773E-2,5.215721519E-2
2.126909625E0,-8.441948433E-3,7.300488569E-4,-6.315811515E-2,6.372399057E-2
2.136897625E0,6.116140749E-3,-2.512292750E-3,-7.408539176E-2,7.437986330E-2
2.146885625E0,2.610734052E-2,-1.484433095E-2,-8.860461295E-2,9.355599834E-2
2.156873625E0,-3.774745667E-2,-1.389823661E-2,-1.806637609E-1,1.850876170E-1
2.166860625E0,3.616710731E-3,-6.634188067E-3,-1.463850439E-1,1.465799240E-1
2.176848625E0,4.475382116E-2,3.135717858E-2,-1.348590124E-1,1.455098979E-1
2.186836625E0,-1.089847793E-2,1.329988258E-2,4.506682992E-2,4.823570106E-2
2.196824625E0,-3.338677683E-2,-6.769669653E-2,1.155702174E-1,1.380362080E-1
2.206812625E0,2.392565300E-3,-1.013876816E-2,-2.379951257E-1,2.382230023E-1
2.216800625E0,1.892635328E-2,3.743094643E-2,-1.820121288E-1,1.867824875E-1
2.226788625E0,-2.859800085E-2,1.951219061E-2,1.342801380E-1,1.386712901E-1
2.236776625E0,1.371239451E-2,2.729115958E-3,9.790519416E-2,9.889845743E-2
2.246764625E0,3.323300191E-2,6.067451487E-2,1.557639778E-2,7.091158818E-2
2.256751625E0,1.764424275E-2,6.349528022E-2,-4.639414787E-2,8.059396298E-2
2.266739625E0,-1.217933793E-2,2.523492452E-2,-9.384605706E-2,9.793988010E-2
2.276727625E0,-7.317904021E-3,3.314005859E-2,4.970542610E-2,6.018674759E-2
2.286715625E0,-3.926919797E-3,6.083776639E-2,4.686134040E-2,7.689369118E-2
2.296703625E0,6.435703647E-3,4.973015799E-2,3.563468635E-2,6.151697137E-2
2.306691625E0,2.471966834E-2,1.953681515E-3,1.692418098E-2,3.002177170E-2
2.316679625E0,-6.698123145E-3,7.932129015E-2,-9.369636834E-2,1.229460913E-1
