"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.249190167E0,-6.077362061E-2,1.351689148E-1,9.790540466E0,9.791662101E0
1.259177167E0,-4.580474854E-2,1.387614441E-1,9.789642334E0,9.790732855E0
1.269164167E0,-5.673202515E-2,1.441502380E-1,9.786199493E0,9.787425521E0
1.279152167E0,-5.673202515E-2,1.484912109E-1,9.789642334E0,9.790932805E0
1.289139166E0,-6.346801758E-2,1.459465027E-1,9.785900116E0,9.787194166E0
1.299126167E0,-5.179229736E-2,1.556762695E-1,9.791737976E0,9.793112382E0
1.309114167E0,-4.999603271E-2,1.483415222E-1,9.787397003E0,9.788648778E0
1.319101167E0,-5.763015747E-2,1.299298096E-1,9.791588287E0,9.792619883E0
1.329088167E0,-5.643264771E-2,1.348695374E-1,9.788893890E0,9.789985599E0
1.339076167E0,-5.792953491E-2,1.429527283E-1,9.784852295E0,9.786067941E0
1.349063167E0,-5.733078003E-2,1.410067749E-1,9.793833618E0,9.795016420E0
1.359050167E0,-5.748046875E-2,1.407073975E-1,9.789642334E0,9.790822213E0
1.369037166E0,-5.358856201E-2,1.401086426E-1,9.777667236E0,9.778817861E0
1.379025167E0,-5.254074097E-2,1.327738953E-1,9.797725525E0,9.798765989E0
1.389012167E0,-6.197113037E-2,1.435514832E-1,9.791288910E0,9.792537259E0
1.398999167E0,-5.478607178E-2,1.441502380E-1,9.797276459E0,9.798490027E0
1.408987167E0,-6.286926270E-2,1.401086426E-1,9.792187042E0,9.793391141E0
1.418974167E0,-5.837860107E-2,1.475930786E-1,9.781858521E0,9.783146114E0
1.428961167E0,-5.733078003E-2,1.359173584E-1,9.791288910E0,9.792400056E0
1.438949167E0,-5.927673340E-2,1.480421448E-1,9.785600739E0,9.786900021E0
1.448936166E0,-5.972579956E-2,1.357676697E-1,9.792187042E0,9.793310324E0
1.458923167E0,-5.538482666E-2,1.454974365E-1,9.791438599E0,9.792676182E0
1.468911167E0,-6.047424316E-2,1.425036621E-1,9.791737976E0,9.792961606E0
1.478898167E0,-6.092330933E-2,1.374142456E-1,9.790390778E0,9.791544613E0
1.488885167E0,-6.197113037E-2,1.395098877E-1,9.785750427E0,9.786941037E0
1.498873167E0,-5.328918457E-2,1.399589539E-1,9.788594513E0,9.789740077E0
1.508860167E0,-4.939727783E-2,1.465452576E-1,9.788744202E0,9.789965712E0
1.518847167E0,-6.496490479E-2,1.369651794E-1,9.794731750E0,9.795904755E0
1.528835166E0,-6.062393188E-2,1.374142456E-1,9.779463501E0,9.780616765E0
1.538822167E0,-5.777984619E-2,1.374142456E-1,9.788893890E0,9.790028845E0
1.548809167E0,-6.077362061E-2,1.360670471E-1,9.787995758E0,9.789130127E0
1.558797166E0,-6.795867920E-2,1.417552185E-1,9.787846069E0,9.789108417E0
1.568784167E0,-6.167175293E-2,1.369651794E-1,9.793983307E0,9.795135113E0
1.578771167E0,-6.167175293E-2,1.390608215E-1,9.790540466E0,9.791722215E0
1.588759167E0,-5.403762817E-2,1.344204712E-1,9.782457275E0,9.783530001E0
1.598746167E0,-5.688171387E-2,1.344204712E-1,9.780810699E0,9.781899730E0
1.608733166E0,-5.179229736E-2,1.347198486E-1,9.789342957E0,9.790406907E0
1.618721167E0,-5.478607178E-2,1.407073975E-1,9.790989532E0,9.792153803E0
1.628708167E0,-5.748046875E-2,1.395098877E-1,9.783056030E0,9.784219555E0
1.638695167E0,-5.882766724E-2,1.426533508E-1,9.785151672E0,9.786368270E0
1.648683167E0,-5.358856201E-2,1.341210938E-1,9.793234863E0,9.794299837E0
1.658670167E0,-5.463638306E-2,1.372645569E-1,9.780361633E0,9.781477412E0
1.668657167E0,-6.062393188E-2,1.431024170E-1,9.789642334E0,9.790875885E0
1.678645167E0,-5.598358154E-2,1.419049072E-1,9.803264008E0,9.804450845E0
1.688632166E0,-5.179229736E-2,1.398092651E-1,9.790390778E0,9.791525961E0
1.698619292E0,-5.733078003E-2,1.315763855E-1,9.793833618E0,9.794885201E0
1.708606292E0,-6.182144165E-2,1.387614441E-1,9.783804474E0,9.784983731E0
1.718594291E0,-6.137237549E-2,1.399589539E-1,9.787846069E0,9.789039062E0
1.728581292E0,-5.912704468E-2,1.408570862E-1,9.791737976E0,9.792929558E0
1.738568292E0,-6.256988525E-2,1.431024170E-1,9.800120544E0,9.801365006E0
1.748556291E0,-5.284011841E-2,1.417552185E-1,9.793534241E0,9.794702627E0
1.758543292E0,-5.867797852E-2,1.480421448E-1,9.783056030E0,9.784352042E0
1.768530292E0,-5.358856201E-2,1.339714050E-1,9.778864746E0,9.779929233E0
